popularity,title,genre
261,Devilman: Crybaby,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']"
2036,Detective Conan Movie 01: The Timed Skyscraper,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']"
901,Carnival Phantasm,"['Comedy', 'Parody', 'Supernatural']"
407,Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']"
2441,Mobile Suit Gundam Thunderbolt,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']"
2786,Mahou Shoujo Lyrical Nanoha: The Movie 1st,"['Action', 'Magic', 'Comedy', 'Sci-Fi', 'Drama']"
941,Macross F,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Music', 'Sci-Fi']"
744,Kara no Kyoukai 4: Garan no Dou,"['Action', 'Mystery', 'Supernatural', 'Thriller']"
4075,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,"['Comedy', 'Drama', 'Shoujo']"
860,Isekai no Seikishi Monogatari,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mecha', 'School']"
1230,Coquelicot-zaka kara,"['Historical', 'Romance', 'School', 'Shoujo']"
7834,Xiao Lu He Xiao Lan,"['Game', 'Sci-Fi', 'Slice of Life', 'Comedy', 'Drama', 'Magic', 'School', 'Shounen Ai']"
1584,Kuroko no Basket: Tip Off,"['Sports', 'Comedy', 'School', 'Shounen']"
3102,Hidamari Sketch x ☆☆☆,"['Slice of Life', 'Comedy', 'School', 'Seinen']"
3691,Flanders no Inu (Movie),"['Drama', 'Historical']"
201,Ergo Proxy,"['Psychological', 'Mystery', 'Sci-Fi']"
835,Durarara!! Specials,"['Action', 'Comedy', 'Supernatural']"
2170,Detective Conan Movie 02: The Fourteenth Target,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']"
2953,Aoki Hagane no Arpeggio: Ars Nova Cadenza,"['Action', 'Sci-Fi', 'Seinen']"
1473,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,"['Game', 'Psychological', 'Thriller', 'Seinen']"
1931,Terra e... (TV),"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']"
915,Tennis no Ouji-sama,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']"
775,Sekaiichi Hatsukoi,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']"
1850,Seitokai Yakuindomo* OVA,"['Slice of Life', 'Comedy', 'School', 'Shounen']"
2477,Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,['Music']
2306,Junjou Romantica OVA,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']"
4815,Igano Kabamaru,"['Action', 'Adventure', 'Comedy', 'Romance', 'School', 'Shounen']"
2904,IDOLiSH7,['Music']
1360,Hokuto no Ken,"['Action', 'Drama', 'Martial Arts', 'Sci-Fi', 'Shounen']"
1886,High☆Speed!: Free! Starting Days,"['Comedy', 'Drama', 'School', 'Slice of Life', 'Sports']"
3406,Hidamari Sketch x Honeycomb,"['Slice of Life', 'Comedy', 'School', 'Seinen']"
115,Fairy Tail (2014),"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']"
3255,There She Is!!,"['Comedy', 'Romance']"
457,Tanaka-kun wa Itsumo Kedaruge,"['Slice of Life', 'Comedy', 'School']"
5234,Tentai Senshi Sunred 2nd Season,"['Comedy', 'Parody', 'Seinen', 'Super Power']"
1100,Sakigake!! Cromartie Koukou,"['Comedy', 'School', 'Shounen']"
2016,Mobile Suit Zeta Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']"
1470,Junjou Romantica 3,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']"
1452,Bishoujo Senshi Sailor Moon: Sailor Stars,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo']"
1819,Yume-iro Pâtissière,"['Kids', 'School', 'Shoujo']"
32,Soul Eater,"['Action', 'Fantasy', 'Comedy', 'Supernatural', 'Shounen']"
1568,Shirokuma Cafe,"['Slice of Life', 'Comedy', 'Josei']"
412,School Rumble,"['Comedy', 'Romance', 'School', 'Shounen']"
422,Non Non Biyori,"['Comedy', 'School', 'Seinen', 'Slice of Life']"
3326,Lupin III vs. Detective Conan: The Movie,"['Action', 'Comedy', 'Mystery', 'Shounen']"
478,Kekkai Sensen & Beyond,"['Action', 'Comedy', 'Fantasy', 'Shounen', 'Super Power', 'Supernatural', 'Vampire']"
872,Jormungand: Perfect Order,"['Action', 'Adventure', 'Seinen']"
459,Hanasaku Iroha,"['Slice of Life', 'Comedy', 'Drama']"
4598,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']"
3632,Ginga Eiyuu Densetsu Gaiden,"['Action', 'Military', 'Sci-Fi', 'Space']"
1110,Date A Live II: Kurumi Star Festival,"['Slice of Life', 'Romance']"
2221,City Hunter,"['Action', 'Comedy', 'Mystery', 'Shounen']"
1408,Boku no Hero Academia the Movie 2: Heroes:Rising,"['Action', 'Comedy', 'Super Power', 'School', 'Shounen']"
238,Beelzebub,"['Action', 'Comedy', 'Demons', 'Supernatural', 'School', 'Shounen']"
1476,Yakitate!! Japan,"['Comedy', 'Shounen']"
4821,Tong Ling Fei,"['Comedy', 'Historical', 'Drama', 'Romance']"
1856,xxxHOLiC Movie: Manatsu no Yoru no Yume,"['Mystery', 'Comedy', 'Psychological', 'Supernatural', 'Drama']"
682,Tiger & Bunny,"['Action', 'Mystery', 'Comedy', 'Super Power']"
2177,Shijou Saikyou no Deshi Kenichi OVA,"['Action', 'Martial Arts', 'Comedy', 'School', 'Shounen']"
156,Plastic Memories,"['Sci-Fi', 'Drama', 'Romance']"
10935,Mini Toji: Yume,"['Action', 'Fantasy']"
3042,Macross F Movie 2: Sayonara no Tsubasa,"['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']"
1479,Macross,"['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']"
3095,Lupin III: Part 5,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']"
599,Haibane Renmei,"['Slice of Life', 'Mystery', 'Psychological', 'Drama', 'Fantasy']"
970,Jigoku Shoujo Futakomori,"['Mystery', 'Horror', 'Psychological', 'Supernatural']"
534,ef: A Tale of Memories.,"['Mystery', 'Drama', 'Romance']"
2719,Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,"['Fantasy', 'Romance', 'Shoujo']"
910,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Seinen', 'Supernatural']"
4460,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,"['Drama', 'Fantasy', 'Magic', 'Slice of Life']"
1310,Yuru Yuri San☆Hai!,"['Comedy', 'School', 'Shoujo Ai', 'Slice of Life']"
900,Yagate Kimi ni Naru,"['Romance', 'School', 'Shoujo Ai']"
1282,Ushio to Tora (TV) 2nd Season,"['Action', 'Adventure', 'Comedy', 'Demons', 'Supernatural', 'Shounen']"
4101,Takarajima,"['Adventure', 'Mystery', 'Historical', 'Drama']"
2854,Sekaiichi Hatsukoi: Valentine-hen,"['Romance', 'Comedy', 'Shounen Ai']"
